Week,Day,Date,Time,Away,Home
1,Thu,2022-09-08,8:20 PM,Buffalo Bills,Los Angeles Rams
1,Sun,2022-09-11,1:00 PM,Cleveland Browns,Carolina Panthers
1,Sun,2022-09-11,1:00 PM,Chicago Bears,San Francisco 49ers
1,Sun,2022-09-11,1:00 PM,Pittsburgh Steelers,Cincinnati Bengals
1,Sun,2022-09-11,1:00 PM,Houston Texans,Indianapolis Colts
1,Sun,2022-09-11,1:00 PM,New Orleans Saints,Atlanta Falcons
1,Sun,2022-09-11,1:00 PM,Baltimore Ravens,New York Jets
1,Sun,2022-09-11,1:00 PM,Philadelphia Eagles,Detroit Lions
1,Sun,2022-09-11,1:00 PM,Miami Dolphins,New England Patriots
1,Sun,2022-09-11,1:00 PM,Washington Commanders,Jacksonville Jaguars
1,Sun,2022-09-11,4:25 PM,Los Angeles Chargers,Las Vegas Raiders
1,Sun,2022-09-11,4:25 PM,New York Giants,Tennessee Titans
1,Sun,2022-09-11,4:25 PM,Minnesota Vikings,Green Bay Packers
1,Sun,2022-09-11,4:25 PM,Kansas City Chiefs,Arizona Cardinals
1,Sun,2022-09-11,8:20 PM,Tampa Bay Buccaneers,Dallas Cowboys
1,Mon,2022-09-12,8:20 PM,Seattle Seahawks,Denver Broncos
2,Thu,2022-09-15,8:15 PM,Kansas City Chiefs,Los Angeles Chargers
2,Sun,2022-09-18,1:00 PM,Carolina Panthers,New York Giants
2,Sun,2022-09-18,1:00 PM,Indianapolis Colts,Jacksonville Jaguars
2,Sun,2022-09-18,1:00 PM,Miami Dolphins,Baltimore Ravens
2,Sun,2022-09-18,1:00 PM,New England Patriots,Pittsburgh Steelers
2,Sun,2022-09-18,1:00 PM,New York Jets,Cleveland Browns
2,Sun,2022-09-18,1:00 PM,Tampa Bay Buccaneers,New Orleans Saints
2,Sun,2022-09-18,1:00 PM,Washington Commanders,Detroit Lions
2,Sun,2022-09-18,4:05 PM,Atlanta Falcons,Los Angeles Rams
2,Sun,2022-09-18,4:05 PM,Seattle Seahawks,San Francisco 49ers
2,Sun,2022-09-18,4:25 PM,Cincinnati Bengals,Dallas Cowboys
2,Sun,2022-09-18,4:25 PM,Arizona Cardinals,Las Vegas Raiders
2,Sun,2022-09-18,4:25 PM,Houston Texans,Denver Broncos
2,Sun,2022-09-18,8:20 PM,Chicago Bears,Green Bay Packers
2,Mon,2022-09-19,7:15 PM,Tennessee Titans,Buffalo Bills
2,Mon,2022-09-19,8:30 PM,Minnesota Vikings,Philadelphia Eagles
3,Thu,2022-09-22,8:15 PM,Pittsburgh Steelers,Cleveland Browns
3,Sun,2022-09-25,1:00 PM,Buffalo Bills,Miami Dolphins
3,Sun,2022-09-25,1:00 PM,Cincinnati Bengals,New York Jets
3,Sun,2022-09-25,1:00 PM,Detroit Lions,Minnesota Vikings
3,Sun,2022-09-25,1:00 PM,Houston Texans,Chicago Bears
3,Sun,2022-09-25,1:00 PM,Kansas City Chiefs,Indianapolis Colts
3,Sun,2022-09-25,1:00 PM,New Orleans Saints,Carolina Panthers
3,Sun,2022-09-25,1:00 PM,Philadelphia Eagles,Washington Commanders
